Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ120,730,736,PRINTED RIBBON,18,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|18|Anti-Shrinkage TM2|1
MAQ118,734,748,WOVEN LABEL OURELA CUT,4,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[1.5] TM3|6
MAQ120,737,743,STRAP W/ STRIPES,9,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|9|Anti-Shrinkage TM2|2
MAQ120,744,750,PRINTED RIBBON,19,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|19|Anti-Shrinkage TM2|1
MAQ119,744,759,WOVEN LABEL OURELA FABRIC,3,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|3|Harden[1] TM1|2
MAQ118,749,757,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|2
MAQ120,751,754,PRINTED RIBBON,15,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|15|Sublimation TM3|0
MAQ120,755,761,STRAP W/ STRIPES,8,Anti-Shrinkage TM2,2,6,MAQ120|STRAP W/ STRIPES|8|Anti-Shrinkage TM2|2
MAQ118,759,767,WOVEN LABEL OURELA FABRIC,11,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|11|Harden[1] TM5|2
MAQ120,764,767,PRINTED RIBBON,22,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|22|Sublimation TM3|0
MAQ119,769,780,WOVEN LABEL OURELA FABRIC,0,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|0|Harden[0.5] TM1|3
MAQ118,769,773,WOVEN LABEL OURELA FABRIC,1,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|1|Harden[0.5] TM4|3
MAQ120,770,773,PRINTED RIBBON,27,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|27|Sublimation TM3|0
MAQ118,774,778,WOVEN LABEL OURELA FABRIC,11,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|11|Harden[0.5] TM4|3
MAQ120,774,780,PRINTED RIBBON,9,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|9|Anti-Shrinkage TM2|1
MAQ118,780,784,WOVEN LABEL OURELA FABRIC,3,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|3|Harden[0.5] TM4|3
MAQ119,781,796,WOVEN LABEL OURELA FABRIC,12,Harden[1] TM1,1,15,MAQ119|WOVEN LABEL OURELA FABRIC|12|Harden[1] TM1|1
MAQ120,783,786,PRINTED RIBBON,8,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|8|Sublimation TM3|0
MAQ118,785,789,WOVEN LABEL OURELA FABRIC,8,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|8|Harden[0.5] TM4|3
MAQ120,787,790,PRINTED RIBBON,6,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|6|Sublimation TM3|0
MAQ118,790,798,WOVEN LABEL OURELA FABRIC,7,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|7|Harden[1] TM5|1
MAQ120,792,795,PRINTED RIBBON,13,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|13|Sublimation TM3|0
MAQ120,796,799,PRINTED RIBBON,23,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|23|Sublimation TM3|0
MAQ119,797,812,WOVEN LABEL OURELA FABRIC,7,Harden[1] TM1,2,15,MAQ119|WOVEN LABEL OURELA FABRIC|7|Harden[1] TM1|2
MAQ118,799,803,WOVEN LABEL OURELA FABRIC,7,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|7|Harden[0.5] TM4|3
MAQ120,801,807,PRINTED RIBBON,6,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|6|Anti-Shrinkage TM2|1
MAQ118,804,812,WOVEN LABEL OURELA FABRIC,10,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|10|Harden[1] TM5|2
MAQ120,808,814,PRINTED RIBBON,3,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|3|Anti-Shrinkage TM2|1
MAQ119,813,824,WOVEN LABEL OURELA FABRIC,10,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|10|Harden[0.5] TM1|3
MAQ120,815,818,PRINTED RIBBON,4,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|4|Sublimation TM3|0
MAQ118,816,824,WOVEN LABEL OURELA FABRIC,12,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|12|Harden[1] TM5|2
MAQ120,819,822,PRINTED RIBBON,17,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|17|Sublimation TM3|0
MAQ120,823,829,PRINTED RIBBON,8,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|8|Anti-Shrinkage TM2|1
MAQ119,825,836,WOVEN LABEL OURELA FABRIC,12,Harden[0.5] TM1,3,11,MAQ119|WOVEN LABEL OURELA FABRIC|12|Harden[0.5] TM1|3
MAQ120,830,833,PRINTED RIBBON,21,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|21|Sublimation TM3|0
MAQ120,834,837,PRINTED RIBBON,0,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|0|Sublimation TM3|0
MAQ120,839,845,PRINTED RIBBON,17,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|17|Anti-Shrinkage TM2|1
MAQ120,846,852,PRINTED RIBBON,0,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|0|Anti-Shrinkage TM2|1
MAQ120,853,859,PRINTED RIBBON,13,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|13|Anti-Shrinkage TM2|1
MAQ120,860,866,PRINTED RIBBON,20,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|20|Anti-Shrinkage TM2|1
MAQ120,867,870,PRINTED RIBBON,1,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|1|Sublimation TM3|0
MAQ120,871,877,PRINTED RIBBON,1,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|1|Anti-Shrinkage TM2|1
MAQ120,880,886,PRINTED RIBBON,22,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|22|Anti-Shrinkage TM2|1
MAQ120,887,893,PRINTED RIBBON,4,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|4|Anti-Shrinkage TM2|1
MAQ120,894,897,PRINTED RIBBON,16,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|16|Sublimation TM3|0
MAQ120,899,902,PRINTED RIBBON,26,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|26|Sublimation TM3|0
MAQ120,903,909,PRINTED RIBBON,25,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|25|Anti-Shrinkage TM2|1
MAQ120,910,916,PRINTED RIBBON,21,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|21|Anti-Shrinkage TM2|1
MAQ120,917,923,PRINTED RIBBON,16,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|16|Anti-Shrinkage TM2|1
MAQ120,925,928,PRINTED RIBBON,7,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|7|Sublimation TM3|0
MAQ120,929,935,PRINTED RIBBON,15,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|15|Anti-Shrinkage TM2|1
MAQ120,937,940,PRINTED RIBBON,28,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|28|Sublimation TM3|0
MAQ120,942,948,PRINTED RIBBON,23,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|23|Anti-Shrinkage TM2|1
MAQ120,950,953,PRINTED RIBBON,24,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|24|Sublimation TM3|0
MAQ120,954,960,PRINTED RIBBON,26,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|26|Anti-Shrinkage TM2|1
MAQ120,961,967,PRINTED RIBBON,7,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|7|Anti-Shrinkage TM2|1
MAQ120,973,979,PRINTED RIBBON,24,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|24|Anti-Shrinkage TM2|1
MAQ120,985,991,PRINTED RIBBON,27,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|27|Anti-Shrinkage TM2|1
MAQ120,992,998,PRINTED RIBBON,28,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|28|Anti-Shrinkage TM2|1
MAQ120,999,1002,PRINTED RIBBON,29,Sublimation TM3,0,3,MAQ120|PRINTED RIBBON|29|Sublimation TM3|0
MAQ120,1005,1011,PRINTED RIBBON,29,Anti-Shrinkage TM2,1,6,MAQ120|PRINTED RIBBON|29|Anti-Shrinkage TM2|1
